ticker,name,sector,industry
AOS,A. O. Smith,Industrials,Building Products
ADBE,Adobe Inc.,Information Technology,Application Software
A,Agilent Technologies,Health Care,Life Sciences Tools &amp; Services
ALB,Albemarle Corporation,Materials,Specialty Chemicals
LNT,Alliant Energy,Utilities,Electric Utilities
MO,Altria,Consumer Staples,Tobacco
AEP,American Electric Power,Utilities,Electric Utilities
AWK,American Water Works,Utilities,Water Utilities
APH,Amphenol,Information Technology,Electronic Components
APO,Apollo Global Management,Financials,Asset Management &amp; Custody Banks
APTV,Aptiv,Consumer Discretionary,Automotive Parts &amp; Equipment
ANET,Arista Networks,Information Technology,Communications Equipment
ATO,Atmos Energy,Utilities,Gas Utilities
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
BALL,Ball Corporation,Materials,"Metal, Glass &amp; Plastic Containers"
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BLK,BlackRock,Financials,Asset Management &amp; Custody Banks
BA,Boeing,Industrials,Aerospace &amp; Defense
AVGO,Broadcom,Information Technology,Semiconductors
BLDR,Builders FirstSource,Industrials,Building Products
CDNS,Cadence Design Systems,Information Technology,Application Software
CAH,Cardinal Health,Health Care,Health Care Distributors
CASY,Casey's,Consumer Staples,Food Retail
CDW,CDW Corporation,Information Technology,Technology Distributors
CF,CF Industries,Materials,Fertilizers &amp; Agricultural Chemicals
CVX,Chevron Corporation,Energy,Integrated Oil &amp; Gas
CIEN,Ciena,Information Technology,Communications Equipment
CSCO,Cisco,Information Technology,Communications Equipment
CME,CME Group,Financials,Financial Exchanges &amp; Data
COHR,Coherent Corp.,Information Technology,Electronic Components
FIX,Comfort Systems USA,Industrials,Construction &amp; Engineering
STZ,Constellation Brands,Consumer Staples,Distillers &amp; Vintners
GLW,Corning Inc.,Information Technology,Electronic Components
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CCI,Crown Castle,Real Estate,Telecom Tower REITs
DHR,Danaher Corporation,Health Care,Life Sciences Tools &amp; Services
DECK,Deckers Brands,Consumer Discretionary,Footwear
DVN,Devon Energy,Energy,Oil &amp; Gas Exploration &amp; Production
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services
DTE,DTE Energy,Utilities,Multi-Utilities
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EMR,Emerson Electric,Industrials,Electrical Components &amp; Equipment
EQT,EQT Corporation,Energy,Oil &amp; Gas Exploration &amp; Production
ERIE,Erie Indemnity,Financials,Insurance Brokers
EVRG,Evergy,Utilities,Electric Utilities
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines"
FFIV,"F5, Inc.",Information Technology,Communications Equipment
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FSLR,First Solar,Information Technology,Semiconductors
FTNT,Fortinet,Information Technology,Systems Software
BEN,Franklin Resources,Financials,Asset Management &amp; Custody Banks
GE,GE Aerospace,Industrials,Aerospace &amp; Defense
GNRC,Generac,Industrials,Electrical Components &amp; Equipment
GPC,Genuine Parts Company,Consumer Discretionary,Distributors
GDDY,GoDaddy,Information Technology,Internet Services &amp; Infrastructure
HAS,Hasbro,Consumer Discretionary,Leisure Products
HSY,Hershey Company (The),Consumer Staples,Packaged Foods &amp; Meats
HON,Honeywell,Industrials,Industrial Conglomerates
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage &amp; Peripherals"
HII,Huntington Ingalls Industries,Industrials,Aerospace &amp; Defense
ITW,Illinois Tool Works,Industrials,Industrial Machinery &amp; Supplies &amp; Components
INTC,Intel,Information Technology,Semiconductors
IP,International Paper,Materials,Paper &amp; Plastic Packaging Products &amp; Materials
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
JBL,Jabil,Information Technology,Electronic Manufacturing Services
JCI,Johnson Controls,Industrials,Building Products
KEY,KeyCorp,Financials,Regional Banks
KMI,Kinder Morgan,Energy,Oil &amp; Gas Storage &amp; Transportation
KR,Kroger,Consumer Staples,Food Retail
LVS,Las Vegas Sands,Consumer Discretionary,Casinos &amp; Gaming
LLY,Lilly (Eli),Health Care,Pharmaceuticals
L,Loews Corporation,Financials,Multi-line Insurance
LYB,LyondellBasell,Materials,Specialty Chemicals
MRSH,Marsh McLennan,Financials,Insurance Brokers
MKC,McCormick &amp; Company,Consumer Staples,Packaged Foods &amp; Meats
MRK,Merck &amp; Co.,Health Care,Pharmaceuticals
MGM,MGM Resorts,Consumer Discretionary,Casinos &amp; Gaming
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MOS,Mosaic Company (The),Materials,Fertilizers &amp; Agricultural Chemicals
NTAP,NetApp,Information Technology,"Technology Hardware, Storage &amp; Peripherals"
NWS,News Corp (Class B),Communication Services,Publishing
NDSN,Nordson Corporation,Industrials,Industrial Machinery &amp; Supplies &amp; Components
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts &amp; Cruise Lines"
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
